TID,Items
1,"Croissant, Carrot, Ketchup, Wheat, Coffee, Milk"
2,"Mayonnaise, Soap, Oil, Carrot, Pineapple, Dal"
3,"Rice, Turmeric, Spices, Beer"
4,"Eggs, Cleaner, Onion, Detergent, Pineapple"
5,"Oil, Pasta, Mango"
6,"Honey, Detergent, Vinegar"
7,"Orange, Butter, Bread, Carrot, Salt, Turmeric, Milk"
8,"Pomegranate, Tomato, Dal"
9,"Kiwi, Butter, Bread, Milk, Dal, Spinach"
10,"Mayonnaise, Shampoo, Tomato, Diaper, Spices, Potato, Beer"
11,"Coffee, Ginger"
12,"Croissant, Yogurt, Paneer"
13,"Chocolates, Pasta"
14,"Tomato, Paneer, Butter, Spices, Noodles"
15,"Ice Cream, Bread, Potato, Mango, Wheat"
16,"Butter, Capsicum, Broccoli, Bread, Pomegranate, Milk"
17,"Ice Cream, Tea, Tomato, Soap, Milk, Onion, Potato, Cheese, Garlic"
18,"Grapes, Sugar, Banana, Spinach"
19,"Juice, Watermelon, Cleaner"
20,"Ice Cream, Cheese"
21,"Mayonnaise, Tomato, Butter, Soap, Onion, Salt, Potato, Coffee"
22,"Cheese, Apple"
23,"Noodles, Honey, Banana"
24,"Grapes, Sugar, Spinach"
25,"Chips, Cleaner, Ketchup, Spices"
26,"Kiwi, Butter, Bread, Pomegranate, Carrot, Potato, Juice, Milk, Spinach"
27,"Chips, Butter, Ketchup, Beer"
28,"Detergent, Toothpaste"
29,"Shampoo, Capsicum, Diaper, Pomegranate, Cheese"
30,"Detergent, Onion, Salt, Noodles"
31,"Orange, Broccoli, Diaper, Toothpaste, Dal, Spinach"
32,"Rice, Toothpaste"
33,"Chips, Bread, Biscuits, Toothpaste, Dal"
34,"Ice Cream, Chips, Watermelon, Tomato, Apple, Carrot, Onion, Toothpaste, Potato"
35,"Tea, Ginger, Biscuits, Turmeric, Vinegar"
36,"Butter, Orange, Eggs, Bread, Milk"
37,"Chips, Broccoli, Bread, Onion, Cheese, Coffee"
38,"Croissant, Shampoo, Spices, Rice, Salt"
39,"Ice Cream, Tea, Pasta, Oil, Banana, Turmeric"
40,"Butter, Capsicum, Pasta, Oil, Grapes, Bread, Detergent, Milk"
41,"Carrot, Salt, Mango, Cheese, Coffee, Vinegar"
42,"Broccoli, Bread"
43,"Kiwi, Tea, Spices, Pomegranate, Spinach"
44,"Rice, Chocolates, Tea, Spinach"
45,"Croissant, Tomato, Yogurt, Onion, Potato, Banana, Papaya"
46,"Kiwi, Paneer, Eggs, Yogurt, Juice, Vinegar"
47,"Milk, Biscuits"
48,"Chips, Honey, Rice, Spinach, Beer, Vinegar"
49,"Chips, Tomato, Broccoli, Beer, Garlic, Spinach"
50,"Chips, Tomato, Apple, Cabbage, Onion, Potato, Beer"
51,"Croissant, Watermelon, Butter, Bread, Onion, Wheat, Milk"
52,"Cleaner, Biscuits, Rice, Detergent, Papaya, Ginger"
53,"Chips, Salt, Detergent, Potato, Beer, Pineapple"
54,"Kiwi, Cabbage, Soap"
55,"Mayonnaise, Onion"
56,"Chips, Soap, Milk, Salt, Toothpaste, Garlic"
57,"Cheese, Shampoo, Pineapple, Chocolates"
58,"Onion, Butter, Garlic"
59,"Tea, Eggs, Diaper, Beer, Cheese"
60,"Grapes, Capsicum"
61,"Chips, Orange, Grapes, Juice, Detergent, Cheese"
62,"Chips, Grapes, Toothpaste, Beer, Cheese, Coffee"
63,"Watermelon, Diaper, Potato, Ketchup, Coffee, Milk"
64,"Bread, Detergent, Turmeric, Pasta"
65,"Rice, Sugar, Butter"
66,"Kiwi, Tea, Butter, Eggs, Bread, Onion, Milk, Spinach"
67,"Bread, Oil, Detergent, Cheese, Vinegar"
68,"Cheese, Coffee, Beer"
69,"Kiwi, Croissant, Watermelon, Butter, Bread, Onion, Juice, Milk, Spinach"
70,"Diaper, Yogurt"
71,"Diaper, Cabbage, Yogurt, Beer"
72,"Butter, Bread, Biscuits, Pomegranate, Potato, Milk"
73,"Mayonnaise, Capsicum, Cabbage, Rice, Ketchup, Pineapple"
74,"Honey, Onion, Juice, Turmeric, Papaya"
75,"Kiwi, Ice Cream, Capsicum, Cabbage, Banana"
76,"Tomato, Onion, Potato, Ketchup, Papaya"
77,"Broccoli, Grapes, Carrot, Garlic"
78,"Cabbage, Cleaner, Banana"
79,"Shampoo, Tea, Capsicum, Biscuits, Coffee, Vinegar"
80,"Apple, Ketchup"
81,"Chips, Cabbage, Salt, Dal"
82,"Mayonnaise, Sugar, Orange, Butter, Bread, Milk, Cheese, Dal"
83,"Mayonnaise, Shampoo, Potato, Croissant"
84,"Butter, Eggs, Bread, Detergent, Banana"
85,"Rice, Turmeric, Biscuits, Soap"
86,"Ice Cream, Shampoo, Kiwi, Diaper, Papaya"
87,"Salt, Mango"
88,"Shampoo, Chocolates, Soap, Diaper, Pomegranate, Toothpaste, Beer, Pineapple"
89,"Sugar, Dal, Ginger"
90,"Kiwi, Noodles"
91,"Kiwi, Mayonnaise, Yogurt, Oil"
92,"Watermelon, Sugar, Milk, Spices"
93,"Pomegranate, Tea, Carrot, Shampoo"
94,"Chips, Honey, Tomato, Soap, Rice, Onion, Salt, Potato"
95,"Yogurt, Spinach"
96,"Pomegranate, Cheese, Biscuits, Soap"
97,"Tea, Butter"
98,"Chips, Oil, Detergent"
99,"Tomato, Orange, Oil, Cleaner, Onion, Potato, Beer"
100,"Tea, Potato"
101,"Broccoli, Yogurt, Onion, Vinegar, Ginger"
102,"Kiwi, Croissant"
103,"Watermelon, Apple, Oil, Toothpaste, Garlic"
104,"Kiwi, Chips, Butter, Oil, Bread, Spices, Beer, Juice, Milk"
105,"Ice Cream, Chips, Tea, Ginger"
106,"Chips, Wheat, Croissant"
107,"Kiwi, Pomegranate, Rice, Carrot, Salt"
108,"Dal, Grapes, Oil"
109,"Coffee, Milk"
110,"Sugar, Apple, Eggs, Bread, Garlic"
111,"Pomegranate, Watermelon, Vinegar"
112,"Croissant, Shampoo, Pasta, Grapes, Wheat, Dal"
113,"Honey, Turmeric"
114,"Tea, Watermelon, Butter, Biscuits, Beer, Banana"
115,"Juice, Chips, Yogurt"
116,"Tea, Tomato, Capsicum, Diaper, Biscuits, Onion, Potato, Beer, Dal"
117,"Juice, Vinegar"
118,"Kiwi, Detergent, Ginger, Banana"
119,"Tomato, Sugar, Spices, Banana"
120,"Chips, Tomato, Apple, Eggs, Broccoli, Turmeric"
121,"Mayonnaise, Carrot, Beer, Diaper"
122,"Wheat, Coffee, Paneer, Eggs"
123,"Croissant, Cabbage, Pasta"
124,"Croissant, Apple, Capsicum, Spices, Detergent, Ginger"
125,"Diaper, Yogurt, Soap, Spinach"
126,"Capsicum, Diaper, Salt, Beer, Pineapple"
127,"Turmeric, Mango"
128,"Capsicum, Vinegar"
129,"Chips, Cabbage, Beer, Yogurt, Potato, Banana"
130,"Wheat, Tea, Papaya"
131,"Butter, Paneer, Mango, Beer, Juice, Turmeric"
132,"Watermelon, Potato, Pineapple, Coffee, Ginger"
133,"Chips, Butter, Bread, Diaper, Pomegranate, Toothpaste, Beer, Milk"
134,"Croissant, Tomato, Broccoli, Cleaner, Pineapple"
135,"Turmeric, Coffee, Bread"
136,"Tea, Watermelon, Potato"
137,"Croissant, Cabbage, Papaya"
138,"Onion, Beer"
139,"Chips, Croissant, Tea, Orange, Pasta, Cabbage, Beer, Milk"
140,"Butter, Eggs, Oil, Salt, Ketchup"
141,"Ice Cream, Tea, Eggs, Biscuits, Toothpaste, Cheese, Pineapple, Vinegar"
142,"Kiwi, Tea, Butter, Pasta, Bread, Detergent, Milk"
143,"Dal, Pasta"
144,"Apple, Eggs"
145,"Broccoli, Detergent"
146,"Chips, Tea, Orange, Pasta, Cleaner, Potato, Beer, Papaya"
147,"Tomato, Broccoli, Cleaner, Potato, Juice, Spinach"
148,"Pasta, Cleaner, Turmeric, Papaya, Vinegar"
149,"Paneer, Butter, Broccoli, Bread, Pomegranate, Milk"
150,"Kiwi, Carrot, Coffee"
151,"Ice Cream, Croissant, Capsicum, Eggs, Bread, Cleaner"
152,"Wheat, Beer, Turmeric, Diaper"
153,"Croissant, Sugar"
154,"Sugar, Broccoli, Cabbage, Pomegranate, Onion, Toothpaste"
155,"Ice Cream, Tomato, Oil, Onion, Potato"
156,"Sugar, Salt"
157,"Ice Cream, Shampoo, Tea, Soap, Biscuits, Papaya, Garlic"
158,"Turmeric, Pasta"
159,"Dal, Spinach"
160,"Ice Cream, Biscuits, Salt, Garlic"
161,"Shampoo, Yogurt, Paneer, Biscuits"
162,"Tea, Spinach"
163,"Turmeric, Cabbage, Sugar"
164,"Butter, Garlic, Soap, Bread, Milk, Mango, Noodles, Dal"
165,"Honey, Croissant, Beer"
166,"Rice, Ice Cream, Paneer, Biscuits"
167,"Rice, Grapes, Yogurt, Onion"
168,"Tomato, Butter, Bread, Biscuits, Milk"
169,"Eggs, Cheese, Turmeric, Coffee, Garlic"
170,"Broccoli, Oil, Detergent, Soap"
171,"Chips, Eggs, Broccoli, Cabbage, Beer"
172,"Rice, Cleaner, Eggs"
173,"Kiwi, Tea, Biscuits, Ginger"
174,"Sugar, Tomato, Broccoli, Banana, Mango, Milk"
175,"Detergent, Paneer, Biscuits"
176,"Bread, Tea, Apple, Biscuits"
177,"Chocolates, Potato, Ketchup, Wheat, Coffee"
178,"Kiwi, Chips, Soap, Cabbage, Pomegranate, Beer, Spinach"
179,"Tea, Diaper, Paneer, Noodles"
180,"Carrot, Spices"
181,"Mayonnaise, Apple, Pasta, Broccoli, Salt, Turmeric"
182,"Chocolates, Ketchup, Orange"
183,"Shampoo, Mayonnaise, Salt, Detergent"
184,"Butter, Bread, Juice, Coffee, Milk"
185,"Juice, Bread, Eggs, Spinach"
186,"Butter, Eggs, Broccoli, Yogurt, Ginger"
187,"Croissant, Tea, Chocolates, Mango"
188,"Tea, Apple, Paneer, Biscuits, Coffee"
189,"Croissant, Tea, Butter, Eggs, Bread, Milk, Biscuits, Ketchup, Wheat, Garlic"
190,"Apple, Capsicum, Soap, Carrot, Juice, Coffee"
191,"Honey, Mango, Onion, Noodles"
192,"Grapes, Oil, Mango, Spinach"
193,"Kiwi, Honey, Bread, Cabbage, Papaya, Vinegar"
194,"Chocolates, Pineapple, Noodles"
195,"Chocolates, Tea, Biscuits, Potato, Banana, Milk, Ginger"
196,"Watermelon, Salt"
197,"Chips, Croissant, Coffee, Beer"
198,"Chips, Tomato, Cabbage, Banana, Carrot, Onion, Potato, Beer"
199,"Chips, Sugar, Paneer, Pasta, Dal"
200,"Chocolates, Tomato, Onion, Potato, Cheese"
